symbol,exchange,timeframe,timestamp,close,price_return_pct,price_return_zscore,oi,oi_change_pct,oi_change_zscore,volume_zscore,funding_rate,funding_classification,funding_percentile_90d,sma200,distance_to_sma200_pct,breakout_10_flag,breakout_20_flag,sma200_reclaim_flag,close_near_high,price_impulse,oi_impulse,first_impulse,early_bullish_score,blowoff_risk_score,signal_active,alert_triggered,last_signal_time,notes,forward_return_1_candle,forward_return_3_candles,forward_return_5_candles,max_favorable_excursion,max_adverse_excursion
BINANCE:RUNEUSDT.P,BINANCE,1d,2026-05-08T00:00:00+00:00,0.5969,0.06058990760483307,1.7376238902263506,8571051.0,-0.001688651477034231,-0.14549661912711845,0.9848522682863351,0.0001,EXTREME,100.0,0.550533,0.08422201757206182,True,True,False,True,True,False,True,43.7,59.5,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME; breakout 20,,,,,
BYBIT:SANDUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,0.08108,0.04713935167247829,1.2510371290897482,69749436.0,0.005764236459145922,0.07989784261006586,-0.057755249607174285,0.0001,EXTREME,100.0,0.1169788,-0.3068829565699084,True,False,False,True,True,False,True,23.3,44.3,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME,,,,,
BINANCE:SOLUSD.P,BINANCE,1d,2026-05-08T00:00:00+00:00,92.26,0.04390133514369787,1.2214790976843424,5847982.0,0.09243100645559976,2.571376335923433,-0.43593898080074484,9.639e-05,NEUTRAL,86.36,114.73625,-0.1958949329440346,True,True,False,True,True,True,True,88.7,30.5,True,True,2026-05-08T00:00:00+00:00,price impulse; OI impulse; first impulse; funding NEUTRAL; breakout 20,,,,,
BYBIT:SUIUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,1.0231,0.05735841256717644,1.4207335997073447,63698620.0,-0.010473056943305248,-0.31236820066706056,0.3013067074590229,-2.056e-05,NEGATIVE,13.64,1.347044,-0.2404850918010102,False,False,False,True,True,False,True,44.5,11.2,False,False,,price impulse; no OI impulse; first impulse; funding NEGATIVE,,,,,
BYBIT:THETAUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,0.23406,0.10760931289040299,2.4951360413515884,9755813.8,-0.10101889418642995,-1.445865387869934,0.2167010248703423,0.0001,EXTREME,100.0,0.27657305,-0.1537136391271673,True,False,False,True,True,False,True,43.2,53.3,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME,,,,,
BYBIT:TIAUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,0.4399,0.1363988633428055,2.648053034085949,22359291.39999999,-0.039747048301034815,-0.8444634914145245,2.3529378820273514,5e-05,EXTREME,100.0,0.497729,-0.11618571551989132,True,False,False,True,True,False,True,58.5,62.9,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME,,,,,
BYBIT:TONUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,2.4634,-0.09193453258625772,-1.9944111557194422,31954095.5,0.0341810877519384,0.5975353911010679,2.7924958013702184,5e-05,EXTREME,100.0,1.5597999999999999,0.579305039107578,False,False,False,False,False,False,False,0.0,75.4,False,False,,no price impulse; no OI impulse; late impulse risk; funding EXTREME,,,,,
BYBIT:UNIUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,3.679,0.07228213348877865,1.7010147719750306,6352959.9,-0.03204743128556109,-0.7785335995898978,-0.27734533307532117,0.0001,EXTREME,100.0,4.70693,-0.218386506703945,True,True,False,True,True,False,True,37.2,46.9,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME; breakout 20,,,,,
BYBIT:XRPUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,1.4156,0.021356421356421462,0.6357521273419403,173498349.3,0.029120214600191652,0.5043147833659603,-0.6522219100045298,-7.308e-05,NEGATIVE,9.09,1.7678715,-0.19926306861103882,False,False,False,True,False,False,True,38.2,8.0,False,False,,no price impulse; no OI impulse; first impulse; funding NEGATIVE,,,,,
PIONEX:ATOMUSDT.P,PIONEX,1d,2026-05-08T20:18:32.837720+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0.0,False,False,,unsupported symbol or exchange,,,,,
